BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT;TRADINGSESSION
TQCB;2021-09-03;ТГК-1 04;RU000A0JS470;0;0.0;;;;100.0;3.16;;6.49;;0;;;100.0;0.0;0.0;0.0;2022-02-14;;;;;6.4;31.91;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ЗСД 03;RU000A0JS4J1;0;0.0;;;;110.0;3.77;;8.56;;0;;;110.0;0.0;0.0;0.0;2032-02-06;;;;;9.84;49.07;;2021-08-31;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ЗСД 04;RU000A0JS4K9;0;0.0;;;;129.99;3.77;;6.03;;0;;;129.99;0.0;0.0;0.0;2032-02-06;;;;;9.84;49.07;;2021-08-31;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ЗСД 05;RU000A0JS4L7;0;0.0;;;;107.0;3.77;;8.99;;0;;;107.0;0.0;0.0;0.0;2032-02-06;;;;;9.84;49.07;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВЭБ.РФ 21;RU000A0JS4Z7;3;4393872.0;100.8;100.8;100.8;100.8;0.72;100.8;7.22;100.8;4359;100.76;100.8;100.8;9114341.6;4431216.5;9114341.6;2032-02-17;179.0;7.22;;;8.82;43.98;2022-03-01;2021-09-03;1000.0;SUR;;7.0214;;2022-03-03;RUB;3
TQCB;2021-09-03;МЕТАЛИНВ 5;RU000A0JS5A7;0;0.0;;;;100.0;0.05;;0.01;;0;;;100.0;0.0;0.0;0.0;2022-03-07;;;;;0.01;0.05;;2021-05-31;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МЕТАЛИНВ 1;RU000A0JS5B5;0;0.0;;;;94.0;0.05;;13.22;;0;;;94.0;0.0;0.0;0.0;2022-03-07;;;;;0.01;0.05;;2021-06-22;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВымпелКом1;RU000A0JS5E9;0;0.0;;;;102.99;30.24;;0.2;;0;;;102.99;0.0;0.0;0.0;2022-03-08;;;;;6.2;30.92;;2021-08-30;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВымпелКом4;RU000A0JS5F6;0;0.0;;;;100.1;30.24;;6.08;;0;;100.38;100.1;0.0;504909.3;0.0;2022-03-08;181.0;;;;6.2;30.92;;2021-09-01;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МЕТАЛИНВ 6;RU000A0JS5L4;0;0.0;;;;101.7;0.05;;-3.26;;0;;;101.7;0.0;0.0;0.0;2022-03-10;;;;;0.01;0.05;;2021-08-09;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВымпелКом2;RU000A0JS5M2;0;0.0;;;;103.0;29.22;;0.4;;0;;;103.0;0.0;0.0;0.0;2022-03-14;;;;;6.2;30.92;;2021-08-25;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МСП Банк 1;RU000A0JS5R1;0;0.0;;;;100.93;28.71;;4.44;;0;;;100.93;0.0;0.0;0.0;2022-03-17;;;;;6.2;30.92;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МСП Банк 2;RU000A0JS603;0;0.0;;;;98.5;3.77;;8.11;;0;;;98.5;0.0;0.0;0.0;2022-08-11;;;;;6.25;31.16;;2021-08-31;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РосбанкБО5;RU000A0JS6M0;0;0.0;;;;98.75;24.97;;7.39;;0;;;98.75;0.0;0.0;0.0;2023-10-21;;;;;6.75;33.84;;2021-08-19;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РСХБ 16;RU000A0JS6N8;0;0.0;;;;100.4;25.44;;5.5;;0;;99.61;100.4;0.0;501058.0;0.0;2022-04-04;208.0;;;;6.15;30.67;;2021-09-02;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Промсвб5;RU000A0JS710;0;0.0;;;;100.0;;;;;0;;;100.0;0.0;0.0;0.0;2022-04-07;;;;;0.1;0.5;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Промсвб4;RU000A0JS793;0;0.0;;;;102.51;;;;;0;;;102.51;0.0;0.0;0.0;2022-04-13;;;;;0.1;0.5;;2020-10-01;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ЕАБР10;RU000A0JS926;0;0.0;;;;;17.45;;;;0;;;;0.0;0.0;0.0;2023-01-10;;;;;12.25;61.08;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ЕАБР11;RU000A0JS934;0;0.0;;;;100.3;7.05;;7.3;;0;;100.08;100.3;0.0;163855116.3;0.0;2025-01-24;655.0;;;;7.35;36.65;2023-07-28;2021-08-18;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;СитиматНН;RU000A0JS9X1;0;0.0;;;;100.0;116.44;;6.13;;0;;;100.0;0.0;0.0;0.0;2022-06-15;;;;;6.8;169.53;;2020-12-15;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РЖД-32 обл;RU000A0JSGV0;38;273408.7;100.48;100.87;100.76;100.54;12.46;100.52;5.85;100.87;272;;100.64;100.54;0.0;501183.7;0.0;2032-06-25;126.0;6.6;;;8.12;40.49;2022-01-07;2021-09-03;1000.0;SUR;;7.0876;;2022-07-13;RUB;3
TQCB;2021-09-03;ФСК ЕЭС-22;RU000A0JSQ58;16;325741.9;100.01;101.58;100.53;100.53;8.64;100.54;7.21;100.01;324;;100.7;100.53;0.0;554850.6;0.0;2027-07-21;145.0;7.18;;;8.52;42.48;2022-01-26;2021-09-03;1000.0;SUR;;7.7866;;2022-08-03;RUB;3
TQRD;2021-09-03;ОткрХОЛ 3;RU000A0JT3J2;0;0.0;;;;6.99;;;;;0;;;6.99;0.0;0.0;0.0;2027-09-17;;;;;0.01;0.02;;2021-08-30;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВЭБ.РФ 18;RU000A0JT403;0;0.0;;;;102.14;32.36;;7.0;;0;;100.7;102.14;0.0;1432017.9;0.0;2032-09-17;988.0;;;;7.67;38.24;2024-09-27;2021-08-30;1000.0;SUR;;;;2024-10-01;RUB;3
TQCB;2021-09-03;ВолгСпорт2;RU000A0JT593;0;0.0;;;;100.0;0.41;;10.01;;0;;;100.0;0.0;0.0;0.0;2024-02-29;;;;;10.02;49.7;2022-08-31;;496.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ВЭБ.РФ 19;RU000A0JT6B2;0;0.0;;;;100.15;30.33;;7.55;;0;100.27;100.27;100.15;9836164.5;9813094.9;9836164.5;2032-09-23;851.0;;;;7.48;37.3;2024-04-04;2021-09-02;1000.0;SUR;;;;2024-04-08;RUB;3
TQCB;2021-09-03;ГПБ 12;RU000A0JT6J5;2;9905.0;99.05;99.05;99.05;99.05;30.49;99.05;8.63;99.05;10;;101.09;99.05;0.0;563090.6;0.0;2022-10-06;378.0;8.63;;;7.52;37.5;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РСХБ 17;RU000A0JT7M7;0;0.0;;;;100.9;20.57;;4.44;;0;;;100.9;0.0;0.0;0.0;2022-10-11;;;;;5.25;26.18;;2021-08-23;1000.0;SUR;;;;;RUB;3
